DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2020-01-02,EQ,334.5,339.85,333.35,334.45,338.8,339.3,336.81,373.8,244.35,20324236,6845341476.35,123189,SBIN
2020-01-01,EQ,334.7,335.95,332.15,333.75,335.0,334.45,334.03,373.8,244.35,17379320,5805129513.65,99108,SBIN
2019-12-31,EQ,334.4,336.35,332.55,334.4,333.8,333.75,334.36,373.8,244.35,23801635,7958254900.2,145537,SBIN
2019-12-30,EQ,337.75,337.85,332.5,337.25,334.45,334.4,334.47,373.8,244.35,22775554,7617748864.2,133458,SBIN
2019-12-27,EQ,333.4,338.35,333.0,329.85,337.2,337.25,336.68,373.8,244.35,33477173,11271063363.9,209260,SBIN
2019-12-26,EQ,333.0,333.45,328.1,331.45,330.2,329.85,330.09,373.8,244.35,24616942,8125696269.45,139034,SBIN
2019-12-24,EQ,333.2,334.2,329.2,332.4,331.95,331.45,331.35,373.8,244.35,21747782,7206207418.8,134272,SBIN
2019-12-23,EQ,335.7,338.85,330.35,337.85,332.4,332.4,334.27,373.8,244.35,30150335,10078492861.1,176514,SBIN
2019-12-20,EQ,330.35,339.5,330.35,328.15,337.25,337.85,336.38,373.8,244.35,51839714,17438059881.05,320799,SBIN
2019-12-19,EQ,327.35,329.6,324.5,326.95,328.3,328.15,327.19,373.8,244.35,27516289,9002958327.85,171554,SBIN
2019-12-18,EQ,335.0,335.55,325.8,332.9,327.2,326.95,328.8,373.8,244.35,26449075,8696405934.15,196530,SBIN
2019-12-17,EQ,333.25,335.75,330.65,331.85,333.55,332.9,333.79,373.8,244.35,26734601,8923796060.75,184237,SBIN
2019-12-16,EQ,335.95,337.25,330.8,332.55,332.3,331.85,333.33,373.8,244.35,35027613,11675699798.0,245635,SBIN
2019-12-13,EQ,325.2,333.45,325.0,321.85,333.15,332.55,329.84,373.8,244.35,40955226,13508848441.25,252185,SBIN
2019-12-12,EQ,314.0,322.95,313.55,312.8,321.45,321.85,317.89,373.8,244.35,37804216,12017627902.3,234427,SBIN
2019-12-11,EQ,311.2,315.75,308.0,313.4,311.75,312.8,312.23,373.8,244.35,52557951,16410249205.95,303209,SBIN
2019-12-10,EQ,317.2,322.65,312.25,316.7,313.2,313.4,317.56,373.8,244.35,52155809,16562756794.0,304771,SBIN
2019-12-09,EQ,318.95,327.65,314.75,320.0,317.05,316.7,320.65,373.8,244.35,52435239,16813556955.4,346470,SBIN
2019-12-06,EQ,336.7,337.65,318.0,336.2,318.2,320.0,325.07,373.8,244.35,47027528,15287224870.3,399338,SBIN
2019-12-05,EQ,343.0,344.6,335.15,341.85,336.0,336.2,338.88,373.8,244.35,30429507,10312041016.55,217025,SBIN
2019-12-04,EQ,334.1,342.95,331.85,336.25,341.5,341.85,337.83,373.8,244.35,26789483,9050174824.25,187289,SBIN
