DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2019-10-07,EQ,186.95,188.2,183.0,185.8,184.0,184.4,185.15,289.2,177.7,6160378,1140571390.8,60092,COALINDIA
2019-10-04,EQ,187.7,189.35,182.15,186.75,186.45,185.8,185.88,289.2,177.7,12238072,2274752793.75,110583,COALINDIA
2019-10-03,EQ,193.0,193.0,185.25,194.1,187.4,186.75,188.04,289.2,177.7,12270678,2307437984.75,102074,COALINDIA
2019-10-01,EQ,200.0,200.6,190.75,199.85,194.15,194.1,194.94,289.2,177.7,10416295,2030556747.6,54682,COALINDIA
2019-09-30,EQ,197.5,200.75,196.55,199.35,199.85,199.85,199.02,289.2,177.7,7578946,1508395481.55,79275,COALINDIA
2019-09-27,EQ,203.3,204.8,196.7,203.3,199.5,199.35,200.33,289.2,177.7,10240429,2051480143.05,84402,COALINDIA
2019-09-26,EQ,190.65,204.85,189.55,192.6,203.0,203.3,199.95,289.2,177.7,20274950,4053882677.0,109327,COALINDIA
2019-09-25,EQ,193.0,198.7,191.15,198.15,193.0,192.6,195.61,289.2,177.7,6873148,1344443156.7,59761,COALINDIA
2019-09-24,EQ,203.6,205.7,197.1,202.7,198.4,198.15,201.05,289.2,177.7,9662821,1942662607.65,76472,COALINDIA
2019-09-23,EQ,205.5,208.4,200.55,200.05,202.25,202.7,202.95,289.2,177.7,9396444,1907032777.05,91815,COALINDIA
2019-09-20,EQ,193.7,202.4,188.85,193.45,200.3,200.05,198.45,289.2,177.7,30567231,6066037219.7,144944,COALINDIA
2019-09-19,EQ,191.3,194.5,189.5,192.35,193.7,193.45,192.17,289.2,177.7,7916117,1521249565.3,58989,COALINDIA
2019-09-18,EQ,198.45,199.2,191.75,197.6,192.45,192.35,194.04,289.2,177.7,5488038,1064904927.7,60204,COALINDIA
2019-09-17,EQ,200.6,200.6,196.0,200.55,197.4,197.6,198.53,289.2,177.7,5885854,1168512924.3,57146,COALINDIA
2019-09-16,EQ,197.65,201.2,196.6,198.2,200.5,200.55,198.9,289.2,177.7,3961273,787914767.3,28997,COALINDIA
2019-09-13,EQ,198.65,199.6,194.5,197.7,199.4,198.2,196.75,289.2,177.7,6979583,1373226541.95,59602,COALINDIA
2019-09-12,EQ,197.6,199.2,195.4,196.7,197.65,197.7,197.45,289.2,177.7,6446408,1272819435.55,62419,COALINDIA
2019-09-11,EQ,199.8,203.0,195.55,199.35,195.8,196.7,198.97,289.2,177.7,8755389,1742031165.3,81811,COALINDIA
2019-09-09,EQ,198.1,200.1,196.8,198.6,199.9,199.35,198.6,289.2,177.7,5382211,1068922934.95,46091,COALINDIA
2019-09-06,EQ,196.15,199.5,192.8,194.85,198.1,198.6,196.38,289.8,177.7,16095238,3160743540.15,84300,COALINDIA
2019-09-05,EQ,183.9,196.4,183.8,182.15,195.45,194.85,192.77,289.8,177.7,29083353,5606486747.35,172346,COALINDIA
2019-09-04,EQ,181.05,183.4,179.1,181.05,182.35,182.15,181.59,289.8,177.7,6030798,1095113252.65,62727,COALINDIA
2019-09-03,EQ,183.0,185.7,180.05,184.75,180.05,181.05,183.5,289.8,177.7,7054535,1294504542.2,51090,COALINDIA
2019-08-30,EQ,189.75,190.45,182.15,189.0,184.7,184.75,185.1,299.75,177.7,11880019,2199008951.35,109641,COALINDIA
2019-08-29,EQ,183.3,190.3,182.1,185.05,189.75,189.0,187.54,299.75,177.7,31069292,5826680439.45,121426,COALINDIA
